pid,attachments,type,year,author_lastname,author_name,title,isbn,publisher,place,Language,Worldcat,Editor,Translator,Contributor,Edition
LXYBMR3W,/Users/alanms/Zotero/storage/S78XD75R/IMG_7719.JPG; /Users/alanms/Zotero/storage/PTMZY3M3/IMG_7720.JPG,book,1954,Peterson, Houston,50 great essays,978-0-671-48905-2,Pocket Books,New York,eng,OCLC: 5346749,,,,
9CTAPWPM,/Users/alanms/Zotero/storage/4STDI38S/IMG_7721.JPG; /Users/alanms/Zotero/storage/DE6JGBNC/IMG_7722.JPG,book,2008,,,Alemán: guía de viaje,978-607-400-074-0,Larousse,México,spa,OCLC: 651268822,,,,
2R948DA8,/Users/alanms/Zotero/storage/KEMYH7GH/IMG_7866.JPG; /Users/alanms/Zotero/storage/82RZPJ75/IMG_7867.JPG; /Users/alanms/Zotero/storage/XYUUY5T2/IMG_7868.JPG,book,1950,Christie," Agatha; Postif, Louis",A.B.C. contre Poirot = The A.B.C. murders,,Librairie des Champs-Élysées,Paris,fre,OCLC: 6928625,,,,
4ZUZKIF8,/Users/alanms/Zotero/storage/UK6LS3KC/IMG_7932.JPG; /Users/alanms/Zotero/storage/7YD9BZP8/IMG_7933.JPG; /Users/alanms/Zotero/storage/STQULUEL/IMG_7934.JPG,book,1996,Amon," Evelyne; Bomati, Yves","50 tests de grammaire, conjugaison, ponctuation",978-2-501-02432-7,Marabout,"Alleur, Belgique",fre,OCLC: 221872697,,,,
BXH4DN9G,/Users/alanms/Zotero/storage/IKE52VKQ/IMG_8059.JPG; /Users/alanms/Zotero/storage/6IVTL684/IMG_8060.JPG; /Users/alanms/Zotero/storage/IF32UGVT/IMG_8061.JPG,book,1980,Cortázar, Julio,62/modelo para armar,978-84-02-07039-5,Bruguera,Barcelona,spa,OCLC: 1089756202 exlibris: 1980,,,,1a edición
5H2IBGLB,/Users/alanms/Zotero/storage/GU3E4MPR/IMG_8435.JPG; /Users/alanms/Zotero/storage/JGQL5CY4/IMG_8436.JPG; /Users/alanms/Zotero/storage/E7BVRM3E/IMG_8437.JPG,book,1974,Godard," Jean-Luc; Truffaut, François",A bout de souffle,978-2-7158-0010-6,Balland,Paris,fre,OCLC: 1333252,,,,
BWJV3VLY,/Users/alanms/Zotero/storage/ZHDSVMVJ/IMG_8538.JPG; /Users/alanms/Zotero/storage/H5HUERNM/IMG_8539.JPG; /Users/alanms/Zotero/storage/R228BXL6/IMG_8540.JPG; /Users/alanms/Zotero/storage/I6KGQBNB/IMG_8541.JPG,book,1969,Agustín, José.,Abolición de la propiedad,,J. Mortiz,México,spa,OCLC: 1348668 exlibris: 1970,,,,[1. ed.]
QRTDPEIQ,/Users/alanms/Zotero/storage/VLB3VQEZ/IMG_8604.JPG,book,2014,Simić Bodrožić," Roman; Ferić, Zoran; Hrgović, Maja; Malkoč, Zoran; Perišić, Robert; Karuza, Senko; Ušumović, Neven; Savičević Ivančević, Olja; Pilić, Zoran; Karakaš, Damir",A todos nos falta algo: antología del cuento croata,978-607-9357-12-2,Ediciones Cal y Arena,México,spa,OCLC: 1018104586,,,"Simić Bodrožić, Roman; Ferić, Zoran; Hrgović, Maja; Malkoč, Zoran; Perišić, Robert; Karuza, Senko; Ušumović, Neven; Savičević Ivančević, Olja; Pilić, Zoran; Karakaš, Damir",Primera edición
X3ZKNRYX,/Users/alanms/Zotero/storage/3N2X6FPF/IMG_8615.JPG; /Users/alanms/Zotero/storage/4SDQACHC/IMG_8616.JPG,book,2012,Kuzmín, Mijaíl,Alas,978-607-7742-72-2,Quimera,México,spa,,,"Rivera, Nayar; Méndez, Bela",,1st
LWZPIB9G,/Users/alanms/Zotero/storage/HKFT79GW/IMG_8741.JPG; /Users/alanms/Zotero/storage/FWRXMVUL/IMG_8742.JPG; /Users/alanms/Zotero/storage/IGBRJYUF/IMG_8743.JPG,book,2013,Doyle, Arthur Conan,A study in scarlet & the sign of the four,978-1-84870-565-4,Wordsworth Editions,"Cork, Ireland?",eng,OCLC: 878071652 exlibris: 2013,,,,
RSEX3W7Y,/Users/alanms/Zotero/storage/LK9RM6LY/IMG_8824.JPG; /Users/alanms/Zotero/storage/4TJBXCAS/IMG_8825.JPG; /Users/alanms/Zotero/storage/QCBJYQ3Z/IMG_8826.JPG,book,1996,Fellini," Federico; Manganaro, Jean-Paul",8 1/2: scénario bilingue,978-2-02-023535-8,Seuil,Paris,fre,OCLC: 36541642 exlibris: 2004  covnote: Regalo de Angelina,,,,
9HG2B83F,/Users/alanms/Zotero/storage/3HJSVE8M/IMG_8886.JPG; /Users/alanms/Zotero/storage/JFCFIWVQ/IMG_8887.JPG; /Users/alanms/Zotero/storage/CBEEW4Y5/IMG_8888.JPG,book,1932,Alessio Robles, Vito,Acapulco en la historia y en la leyenda,,Impr. Mundial,México,spa,OCLC: 253982384 covnote: José Dimayuga 99,,,,
TEA9NYP4,/Users/alanms/Zotero/storage/6BZM9FCI/IMG_0240.JPG; /Users/alanms/Zotero/storage/FENSXBJ4/IMG_0241.JPG,book,1995,Yourcenar," Marguerite; Catalayud, Emma",A beneficio de inventario,978-84-204-2722-5,Santillana,Madrid,spa,OCLC: 34205205,,,"Catalayud, Emma",
